"","Age","Carbongpersqm"
"364",365,21772.3755907599
"365",366,21681.1643745176
"366",367,21711.8614195143
"367",368,21668.9031856852
"368",369,21772.8069856908
"369",370,21808.0524018726
"370",371,21910.908021587
"371",372,22013.2321059204
"372",373,22115.0665799042
"373",374,22216.5534787724
"374",375,22027.9954457936
"375",376,22043.5275619154
"376",377,22039.888362591
"377",378,22080.4561558019
"378",379,21964.443798637
"379",380,22065.4691221402
"380",381,22068.8957104924
"381",382,22108.9360919983
"382",383,22102.9015535124
"383",384,22203.2236312291
"384",385,22049.1627667618
"385",386,21932.2940270959
"386",387,21775.7606083825
"387",388,21876.610615073
"388",389,21935.0330261109
"389",390,21995.5468875497
"390",391,21988.0514883852
"391",392,21992.4177477749
"392",393,22003.6790480947
"393",394,22016.7681975947
"394",395,21894.6533109126
"395",396,21950.7991412226
"396",397,22050.0334270635
"397",398,22021.1357249473
"398",399,22119.5176982361
"399",400,22061.0355310143
"400",401,21987.0112912397
"401",402,22084.8427312005
"402",403,21994.8732908471
"403",404,22000.3385451229
"404",405,22097.8833581711
"405",406,22147.8805253223
"406",407,21995.7522573431
"407",408,22016.6364984284
"408",409,21800.0074699291
"409",410,21663.5667559237
"410",411,21761.2211859267
"411",412,21761.3250890998
"412",413,21667.6727630431
"413",414,21652.3030887395
"414",415,21750.2470254625
"415",416,21847.8471344657
"416",417,21945.0141357965
"417",418,21959.2165283508
"418",419,21973.8822894238
"419",420,21937.2095114375
"420",421,21925.6885967948
"421",422,22021.5859906049
"422",423,22117.0641926199
"423",424,22212.3000099224
"424",425,22307.3254130071
"425",426,22155.434387165
"426",427,22050.3571020168
"427",428,22144.9835215139
"428",429,22239.3437513708
"429",430,22333.3015488182
"430",431,22157.4500730263
"431",432,22162.6737933358
"432",433,21987.0199451865
"433",434,22017.9557299777
"434",435,22111.3661100649
"435",436,21979.2371496785
"436",437,21945.2943742474
"437",438,22038.1720995274
"438",439,22130.7469265634
"439",440,22122.6296205845
"440",441,22214.4036314058
"441",442,22169.9633166796
"442",443,22260.7945557671
"443",444,22143.8915020647
"444",445,21804.6142872951
"445",446,21787.2918538939
"446",447,21697.80949995
"447",448,21518.6952086638
"448",449,21475.2332878258
"449",450,21350.9950901
"450",451,21442.4414870012
"451",452,21318.9824815914
"452",453,21256.303902457
"453",454,20969.4794055724
"454",455,21061.1201260476
"455",456,21152.4703508897
"456",457,21159.1375848407
"457",458,20858.7897905223
"458",459,20718.7378628974
"459",460,20583.2744682066
"460",461,20592.472847095
"461",462,20682.818595882
"462",463,20722.0380720185
"463",464,20811.9811298397
"464",465,20901.5441576465
"465",466,20898.0739524481
"466",467,20893.8325936314
"467",468,20774.6995627443
"468",469,20759.377734473
"469",470,20722.4388146668
"470",471,20598.9663027733
"471",472,20058.5112009922
"472",473,20148.1611944544
"473",474,20237.501467264
"474",475,20326.8278270347
"475",476,20415.8376947749
"476",477,20504.489052856
"477",478,20592.9032572119
"478",479,20142.8449767815
"479",480,20047.028447857
"480",481,19950.4636272684
"481",482,19943.512790531
"482",483,20030.9813953664
"483",484,19790.3105386981
"484",485,19697.5920762213
"485",486,19650.066566362
"486",487,19608.7411863439
"487",488,19696.3526049937
"488",489,19783.7103539213
"489",490,19583.3485905514
"490",491,19669.8743210419
"491",492,19618.0679452952
"492",493,19549.6421593582
"493",494,19512.7862042186
"494",495,19125.2964702368
"495",496,19099.6529755179
"496",497,19186.7336290603
"497",498,19107.2172352707
"498",499,19052.2893457529
"499",500,19137.8772399626
